#logback.classic pattern: %date{ISO8601} | %-5level | %msg [%logger{40}<%thread>] %n%xEx
2023-08-24 11:48:17,005 | INFO  | Server version name:   Apache Tomcat/9.0.60 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,008 | INFO  | Server built:          Mar 9 2022 14:52:25 UTC [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,009 | INFO  | Server version number: 9.0.60.0 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,010 | INFO  | OS Name:               Linux [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,011 | INFO  | OS Version:            6.2.0-26-generic [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,012 | INFO  | Architecture:          amd64 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,013 | INFO  | Java Home:             /usr/lib/jvm/java-17-openjdk-amd64 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,013 | INFO  | JVM Version:           17.0.8+7-Ubuntu-122.04 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,014 | INFO  | JVM Vendor:            Private Build [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,015 | INFO  | CATALINA_BASE:         /home/dev-josh/Desktop/invictus/platform-community-6.4.1 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,016 | INFO  | CATALINA_HOME:         /home/dev-josh/Desktop/invictus/platform-community-6.4.1 [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,025 | INFO  | Command line argument: --add-opens=java.base/java.io=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,026 | INFO  | Command line argument: --add-opens=java.base/java.lang=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,027 | INFO  | Command line argument: --add-opens=java.base/java.lang.invoke=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,028 | INFO  | Command line argument: --add-opens=java.base/java.lang.reflect=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,029 | INFO  | Command line argument: --add-opens=java.base/java.lang.module=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,030 | INFO  | Command line argument: --add-opens=java.base/jdk.internal.module=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,031 | INFO  | Command line argument: --add-opens=java.base/java.math=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,032 | INFO  | Command line argument: --add-opens=java.base/java.net=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,032 | INFO  | Command line argument: --add-opens=java.base/java.nio=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,032 | INFO  | Command line argument: --add-opens=java.base/java.text=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,033 | INFO  | Command line argument: --add-opens=java.base/java.util=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
2023-08-24 11:48:17,033 | INFO  | Command line argument: --add-opens=java.base/java.util.concurrent=ALL-UNNAMED [o.a.c.startup.VersionLoggerListener<main>] 
